Year,EventName,Driver,GridPosition,LapTime,LapNumber,Stint,Compound,LapPosition,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
2024,Austrian Grand Prix,MAG,12,1.11.215,15,2,HARD,15,29.6,33,932.8,FALSE,48.2,1,1.5
2024,British Grand Prix,STR,8,1.32.619,10,1,MEDIUM,7,16.8,60,991.9,FALSE,25.4,243,2
2024,Belgian Grand Prix,ALO,8,1.50.915,10,1,MEDIUM,9,21.4,49,977.9,FALSE,43.3,40,1.9
2024,Hungarian Grand Prix,RUS,17,1.25.334,13,1,HARD,10,28.9,47,981.5,FALSE,44.1,189,1.3
2024,British Grand Prix,LEC,11,1.32.496,10,1,MEDIUM,8,16.8,60,991.9,FALSE,25.4,243,2
2024,Chinese Grand Prix,VER,1,1.41.401,11,1,MEDIUM,1,18.9,65,1011.3,FALSE,30.2,126,3.2
2024,Hungarian Grand Prix,PER,16,1.25.194,13,1,HARD,11,28.9,47,981.5,FALSE,44.1,189,1.3
2024,British Grand Prix,HUL,6,1.32.439,10,1,MEDIUM,9,16.8,60,991.9,FALSE,25.4,243,2
2024,Canadian Grand Prix,RUS,1,1.41.273,45,2,INTERMEDIATE,3,18.4,74,996.2,FALSE,26.1,4,0.8
2024,Austrian Grand Prix,RIC,11,1.11.377,15,2,HARD,16,29.6,33,932.8,FALSE,48.2,1,1.5
2024,Bahrain Grand Prix,HUL,10,1.37.820,8,2,HARD,20,18.2,50,1017.1,FALSE,23.5,221,0.6
2024,Belgian Grand Prix,OCO,9,1.51.085,10,1,MEDIUM,10,21.4,49,977.9,FALSE,43.3,40,1.9
2024,British Grand Prix,ALO,10,1.32.741,10,1,MEDIUM,10,16.8,60,991.9,FALSE,25.4,243,2
2024,Spanish Grand Prix,ZHO,15,1.20.151,12,2,MEDIUM,17,24.4,64,1001.3,FALSE,41.6,70,1.8
2024,Canadian Grand Prix,ZHO,0,1.25.739,44,2,INTERMEDIATE,18,18.4,74,996.2,FALSE,26.1,4,0.8
2024,Austrian Grand Prix,ALO,15,1.11.189,15,2,MEDIUM,17,29.6,33,932.8,FALSE,48.2,1,1.5
2024,Australian Grand Prix,PER,6,1.22.921,11,1,MEDIUM,3,20.8,44,1020.6,FALSE,38.9,120,0.6
2024,British Grand Prix,TSU,13,1.33.438,10,1,MEDIUM,11,16.8,60,991.9,FALSE,25.4,243,2
2024,Belgian Grand Prix,BOT,14,1.50.863,10,1,MEDIUM,11,21.4,49,977.9,FALSE,43.3,40,1.9
2024,Spanish Grand Prix,BOT,12,1.39.211,12,2,SOFT,18,24.4,64,1001.3,FALSE,41.6,70,1.8
2024,British Grand Prix,ALB,9,1.33.073,10,1,MEDIUM,12,16.8,60,991.9,FALSE,25.4,243,2
2024,Austrian Grand Prix,ALB,16,1.11.266,15,2,HARD,18,29.6,33,932.8,FALSE,48.2,1,1.5
2024,British Grand Prix,SAR,12,1.32.956,10,1,MEDIUM,13,16.8,60,991.9,FALSE,25.4,243,2
2024,Belgian Grand Prix,STR,15,1.51.251,10,1,MEDIUM,12,21.4,49,977.9,FALSE,43.3,40,1.9
2024,Hungarian Grand Prix,GAS,0,1.25.579,13,1,HARD,12,28.9,47,981.5,FALSE,44.1,189,1.3
2024,Australian Grand Prix,ALO,10,1.22.939,11,1,HARD,4,20.8,44,1020.6,FALSE,38.9,120,0.6
2024,Spanish Grand Prix,MAG,16,1.21.470,12,2,MEDIUM,19,24.4,64,1001.3,FALSE,41.6,70,1.8
2024,Austrian Grand Prix,LEC,6,1.11.728,15,2,HARD,19,29.6,33,932.8,FALSE,48.2,1,1.5
2024,British Grand Prix,RIC,15,1.32.721,10,1,MEDIUM,14,16.8,60,991.9,FALSE,25.4,243,2
2024,Spanish Grand Prix,TSU,17,1.22.341,12,2,MEDIUM,20,24.4,64,1001.3,FALSE,41.6,70,1.8
2024,Belgian Grand Prix,MAG,17,1.51.712,10,1,MEDIUM,13,21.4,49,977.9,FALSE,43.3,40,1.9
2024,Chinese Grand Prix,PER,2,1.41.767,11,1,MEDIUM,2,18.9,65,1011.3,FALSE,30.2,126,3.2
2024,Emilia Romagna Grand Prix,TSU,7,1.43.607,13,2,HARD,15,25,50,1006.6,FALSE,40.1,143,1.3
2024,Canadian Grand Prix,PIA,4,1.32.249,45,3,MEDIUM,4,18.4,74,996.2,FALSE,26.1,4,0.8
2024,Hungarian Grand Prix,HUL,11,1.25.285,13,2,HARD,13,28.9,47,981.5,FALSE,44.1,189,1.3
2024,British Grand Prix,MAG,17,1.32.647,10,1,MEDIUM,15,16.8,60,991.9,FALSE,25.4,243,2
2024,Belgian Grand Prix,TSU,20,1.51.514,10,1,MEDIUM,14,21.4,49,977.9,FALSE,43.3,40,1.9
2024,British Grand Prix,PER,0,1.32.709,10,1,HARD,16,16.8,60,991.9,FALSE,25.4,243,2
2024,Chinese Grand Prix,NOR,4,1.41.828,11,1,MEDIUM,3,18.9,65,1011.3,FALSE,30.2,126,3.2
2024,Emilia Romagna Grand Prix,RIC,9,1.21.569,13,2,HARD,16,25,50,1006.6,FALSE,40.1,143,1.3
